BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Categorie,Plot_id,TypeOfOpen,SoilTemp,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,Sample_date
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,transport,011301,NA,14.4,2,1,1,3,0,2,011301,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ZoneConstruite,011501,NA,15.2,2,5,0,0,0.1,0.1,011501,22.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020101,pasture,19.9,4,3,0,0,0,0,020101,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020102,crop,18,2,3,0,3,0,1,020102,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020103,meadow,20.1,3,3,0,1,2,0.1,020103,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020104,crop,18.5,3,0.1,0,4,1,0,020104,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020105,pasture,21.2,3,3,0,1,0,0,020105,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020106,crop,19.5,5,2,0,0,0.1,0,020106,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020107,crop,19.3,2,0.1,0,4,2,0,020107,15.08.19
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,20190815,Autre,020108,meadow,20.7,3,4,0,1,0.1,1,020108,15.08.19
