CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECIESID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
5656;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;6;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2235;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Echandens;10;531223;155526;395;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5678;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;12;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12068C;Temn_affi;Temn_affi;public;NA;non;NA;NA;Saint-Sulpice (VD);4;531511;151155;372;lisiere;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5702;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;14;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2048B;Temn_affi;Temn_affi;public;NA;non;NA;NA;Allaman;1;519801;146394;376;zalluviale;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5601;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;21;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12009;Temn_affi;Temn_affi;public;NA;non;NA;NA;Essertines-sur-Yverdon;2;539935;172894;673;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5779;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;8;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15037F;Temn_affi;Temn_nyla;public;NA;non;NA;NA;Signy-Avenex;3;505766;138325;437;Autre;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2020;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16950B;Temn_inte;Temn_inte;public;NA;NA;NA;NA;Tévenon;6;539336;190208;1160;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_inte;2019;oui;Temn_inte;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12596B;Temn_inte;Temn_inte;public;NA;non;NA;NA;Roche (VD);1;561191;134585;427;transport;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_inte;2019;oui;Temn_inte;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5720;Temn_inte;Temn_inte;public;NA;oui;NA;NA;Ferreyres;11;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_inte;2019;oui;Temn_inte;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
