CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110;col;
7239;Camp_fall;Camp_fall;public;NA;oui;NA;NA;Lavey-Morcles;9;567366;118697;427;ZoneConstruite;2;NA;NA;1;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;reines ailées;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
18095;Camp_fall;Camp_fall;public;NA;non;NA;NA;Denens;2;524933;151725;462;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
10441;Camp_fall;Camp_fall;public;NA;non;NA;NA;Signy-Avenex;13;505760;138335;438;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
12682B;Camp_fall;Camp_fall;public;NA;non;NA;NA;Vevey;1;553673;145833;373;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
13585;Camp_fall;Camp_fall;public;NA;NA;NA;NA;Montreux;7;559354;142651;373;ZoneConstruite;NA;NA;NA;NA;Simon Vogel;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
18745;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Gimel;1;509284;155091;1329;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
2409;Camp_herc;Camp_herc;public;NA;non;NA;NA;Saint-Livres;6;519402;152373;rextraire (coord modifiée);Autre;6;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
14403;Camp_herc;Camp_herc;public;NA;non;NA;NA;Montreux;NA;564402;144842;1545;ZoneConstruite;1;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;reine désailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
12731;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ollon;1;570225;128061;1268;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
15896;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ballaigues;1;522041;177529;1151;ForetMixe;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
